server_id,window_start,window_end,avg_cpu,avg_mem,alert
server_1,20:53:00,20:53:30,50.24,54.31,""
server_1,20:53:10,20:53:40,39.11,51.63,""
server_1,20:53:20,20:53:50,39.53,38.04,""
server_1,20:53:30,20:54:00,45.55,47.48,""
server_1,20:53:40,20:54:10,60.67,46.12,""
server_1,20:53:50,20:54:20,72.07,62.45,""
server_1,20:54:00,20:54:30,65.23,57.88,""
server_1,20:54:10,20:54:40,70.91,64.07,""
server_1,20:54:20,20:54:50,66.9,59.68,""
server_1,20:54:30,20:55:00,76.69,57.36,""
server_1,20:54:40,20:55:10,58.89,52.88,""
server_1,20:54:50,20:55:20,58.4,52.62,""
server_1,20:55:00,20:55:30,56.84,42.26,""
server_1,20:55:10,20:55:40,52.92,42.49,""
server_1,20:55:20,20:55:50,45.06,48.77,""
server_1,20:55:30,20:56:00,39.12,63.38,""
server_1,20:55:40,20:56:10,48.12,62.02,""
server_1,20:55:50,20:56:20,41.56,53.22,""
server_1,20:56:00,20:56:30,50.9,40.55,""
server_1,20:56:10,20:56:40,47.43,42.82,""
server_1,20:56:20,20:56:50,65.07,40.67,""
server_1,20:56:30,20:57:00,67.21,52.19,""
server_1,20:56:40,20:57:10,81.12,55.95,""
server_1,20:56:50,20:57:20,84.57,66.43,""
server_1,20:57:00,20:57:30,67.08,60.24,""
server_1,20:57:10,20:57:40,52.72,59.0,""
server_1,20:57:20,20:57:50,47.58,53.67,""
server_1,20:57:30,20:58:00,49.06,54.27,""
server_1,20:57:40,20:58:10,51.06,52.69,""
server_1,20:57:50,20:58:20,50.03,47.5,""
server_1,20:58:00,20:58:30,49.88,44.94,""
server_1,20:58:10,20:58:40,46.83,47.45,""
server_1,20:58:20,20:58:50,34.0,36.83,""
server_1,20:58:30,20:59:00,32.81,40.07,""
server_1,20:58:40,20:59:10,32.96,33.13,""
server_1,20:58:50,20:59:20,52.28,41.92,""
server_1,20:59:00,20:59:30,51.61,51.19,""
server_1,20:59:10,20:59:40,55.15,68.52,""
server_1,20:59:20,20:59:50,50.01,67.86,""
server_1,20:59:30,21:00:00,51.66,66.37,""
server_1,20:59:40,21:00:10,47.69,63.52,""
server_1,20:59:50,21:00:20,53.04,59.87,""
server_1,21:00:00,21:00:30,53.19,52.55,""
server_1,21:00:10,21:00:40,63.48,52.18,""
server_1,21:00:20,21:00:50,55.38,74.13,""
server_1,21:00:30,21:01:00,57.3,74.99,""
server_1,21:00:40,21:01:10,48.27,62.93,""
server_1,21:00:50,21:01:20,48.12,46.77,""
server_1,21:01:00,21:01:30,58.15,55.91,""
server_1,21:01:10,21:01:40,65.81,62.48,""
server_1,21:01:20,21:01:50,60.52,67.87,""
server_1,21:01:30,21:02:00,62.66,68.7,""
server_1,21:01:40,21:02:10,49.81,61.72,""
server_1,21:01:50,21:02:20,62.5,63.16,""
server_1,21:02:00,21:02:30,45.72,59.29,""
server_1,21:02:10,21:02:40,60.67,59.16,""
server_1,21:02:20,21:02:50,60.28,60.67,""
server_1,21:02:30,21:03:00,69.94,43.74,""
server_1,21:02:40,21:03:10,63.7,49.76,""
server_1,21:02:50,21:03:20,48.22,46.47,""
server_1,21:03:00,21:03:30,39.58,65.54,""
server_1,21:03:10,21:03:40,39.93,50.7,""
server_1,21:03:20,21:03:50,50.08,37.7,""
server_1,21:03:30,21:04:00,58.27,19.54,""
server_1,21:03:40,21:04:10,59.27,33.88,""
server_1,21:03:50,21:04:20,59.12,46.07,""
server_1,21:04:00,21:04:30,61.33,57.62,""
server_1,21:04:10,21:04:40,64.99,62.71,""
server_1,21:04:20,21:04:50,51.87,70.89,""
server_1,21:04:30,21:05:00,41.86,63.5,""
server_1,21:04:40,21:05:10,39.25,50.04,""
server_1,21:04:50,21:05:20,58.3,42.97,""
server_1,21:05:00,21:05:30,69.8,41.21,""
server_1,21:05:10,21:05:40,62.89,46.13,""
server_1,21:05:20,21:05:50,54.84,40.88,""
server_1,21:05:30,21:06:00,47.26,59.8,""
server_1,21:05:40,21:06:10,56.7,62.17,""
server_1,21:05:50,21:06:20,54.03,67.05,""
server_1,21:06:00,21:06:30,56.92,60.04,""
server_1,21:06:10,21:06:40,57.87,64.71,""
server_1,21:06:20,21:06:50,64.34,62.55,""
server_1,21:06:30,21:07:00,66.68,55.37,""
server_1,21:06:40,21:07:10,54.18,54.08,""
server_1,21:06:50,21:07:20,49.78,51.48,""
server_1,21:07:00,21:07:30,43.15,47.43,""
server_1,21:07:10,21:07:40,47.34,45.76,""
server_1,21:07:20,21:07:50,44.8,44.66,""
server_1,21:07:30,21:08:00,56.59,64.2,""
server_1,21:07:40,21:08:10,61.83,53.53,""
server_1,21:07:50,21:08:20,68.21,60.96,""
server_1,21:08:00,21:08:30,68.79,58.29,""
server_1,21:08:10,21:08:40,61.02,65.87,""
server_1,21:08:20,21:08:50,57.02,55.57,""
server_1,21:08:30,21:09:00,50.77,50.88,""
server_1,21:08:40,21:09:10,64.67,58.71,""
server_1,21:08:50,21:09:20,65.11,65.67,""
server_1,21:09:00,21:09:30,65.59,64.48,""
server_1,21:09:10,21:09:40,62.47,54.6,""
server_1,21:09:20,21:09:50,50.56,58.63,""
server_1,21:09:30,21:10:00,49.87,47.21,""
server_1,21:09:40,21:10:10,48.9,52.09,""
server_1,21:09:50,21:10:20,63.16,33.46,""
server_1,21:10:00,21:10:30,60.97,41.16,""
server_1,21:10:10,21:10:40,58.44,41.37,""
server_1,21:10:20,21:10:50,43.02,58.17,""
server_1,21:10:30,21:11:00,53.65,43.39,""
server_1,21:10:40,21:11:10,41.9,46.92,""
server_1,21:10:50,21:11:20,48.89,37.49,""
server_1,21:11:00,21:11:30,41.11,41.27,""
server_1,21:11:10,21:11:40,49.38,48.12,""
server_1,21:11:20,21:11:50,62.32,56.04,""
server_1,21:11:30,21:12:00,64.81,59.82,""
server_1,21:11:40,21:12:10,71.09,51.92,""
server_1,21:11:50,21:12:20,73.18,46.09,""
server_1,21:12:00,21:12:30,61.47,50.04,""
server_1,21:12:10,21:12:40,57.84,51.11,""
server_1,21:12:20,21:12:50,47.4,50.88,""
server_1,21:12:30,21:13:00,59.63,44.94,""
server_1,21:12:40,21:13:10,51.53,47.21,""
server_1,21:12:50,21:13:20,49.08,43.56,""
server_1,21:13:00,21:13:30,45.92,56.18,""
server_1,21:13:10,21:13:40,58.3,43.98,""
server_1,21:13:20,21:13:50,55.17,46.62,""
server_1,21:13:30,21:14:00,55.56,43.67,""
