server_id,window_start,window_end,max_net_in,max_disk_io,alert
server_1,20:53:00,20:53:30,6669.68,1467.54,Possible DDoS
server_1,20:53:10,20:53:40,4083.86,5163.48,Disk thrash suspected
server_1,20:53:20,20:53:50,637.49,8181.69,Disk thrash suspected
server_1,20:53:30,20:54:00,860.78,8181.69,Disk thrash suspected
server_1,20:53:40,20:54:10,15916.29,8181.69,Network flood + Disk thrash suspected
server_1,20:53:50,20:54:20,15916.29,134.3,Possible DDoS
server_1,20:54:00,20:54:30,15916.29,148.99,Possible DDoS
server_1,20:54:10,20:54:40,1060.25,148.99,""
server_1,20:54:20,20:54:50,1060.25,148.99,""
server_1,20:54:30,20:55:00,1060.25,127.22,""
server_1,20:54:40,20:55:10,2814.86,1229.48,""
server_1,20:54:50,20:55:20,4318.81,1692.2,""
server_1,20:55:00,20:55:30,4318.81,1692.2,""
server_1,20:55:10,20:55:40,4318.81,1692.2,""
server_1,20:55:20,20:55:50,3950.59,1269.78,""
server_1,20:55:30,20:56:00,3950.59,7612.63,Disk thrash suspected
server_1,20:55:40,20:56:10,14772.2,7645.81,Network flood + Disk thrash suspected
server_1,20:55:50,20:56:20,14772.2,7645.81,Network flood + Disk thrash suspected
server_1,20:56:00,20:56:30,14772.2,7645.81,Network flood + Disk thrash suspected
server_1,20:56:10,20:56:40,3856.65,1019.73,""
server_1,20:56:20,20:56:50,18749.35,1019.73,Possible DDoS
server_1,20:56:30,20:57:00,18749.35,128.71,Possible DDoS
server_1,20:56:40,20:57:10,18749.35,132.31,Possible DDoS
server_1,20:56:50,20:57:20,983.53,164.9,""
server_1,20:57:00,20:57:30,983.53,5119.31,Disk thrash suspected
server_1,20:57:10,20:57:40,983.53,5507.35,Disk thrash suspected
server_1,20:57:20,20:57:50,904.26,5507.35,Disk thrash suspected
server_1,20:57:30,20:58:00,904.26,5507.35,Disk thrash suspected
server_1,20:57:40,20:58:10,13433.5,112.19,Possible DDoS
server_1,20:57:50,20:58:20,15129.63,1497.47,Possible DDoS
server_1,20:58:00,20:58:30,15129.63,1497.47,Possible DDoS
server_1,20:58:10,20:58:40,15129.63,1497.47,Possible DDoS
server_1,20:58:20,20:58:50,490.53,143.26,""
server_1,20:58:30,20:59:00,490.53,143.26,""
server_1,20:58:40,20:59:10,515.6,8761.99,Disk thrash suspected
server_1,20:58:50,20:59:20,1003.72,8761.99,Disk thrash suspected
server_1,20:59:00,20:59:30,3393.53,8761.99,Disk thrash suspected
server_1,20:59:10,20:59:40,3393.53,1685.49,""
server_1,20:59:20,20:59:50,7779.98,1685.49,Possible DDoS
server_1,20:59:30,21:00:00,7779.98,1575.97,Possible DDoS
server_1,20:59:40,21:00:10,7779.98,1575.97,Possible DDoS
server_1,20:59:50,21:00:20,3874.17,1575.97,""
server_1,21:00:00,21:00:30,3563.75,1337.79,""
server_1,21:00:10,21:00:40,3563.75,1337.79,""
server_1,21:00:20,21:00:50,1030.0,126.98,""
server_1,21:00:30,21:01:00,1030.0,6600.19,Disk thrash suspected
server_1,21:00:40,21:01:10,896.37,6600.19,Disk thrash suspected
server_1,21:00:50,21:01:20,635.76,6600.19,Disk thrash suspected
server_1,21:01:00,21:01:30,4241.28,5974.12,Disk thrash suspected
server_1,21:01:10,21:01:40,4241.28,5652.92,Disk thrash suspected
server_1,21:01:20,21:01:50,12469.96,5652.92,Network flood + Disk thrash suspected
server_1,21:01:30,21:02:00,12469.96,5652.92,Network flood + Disk thrash suspected
server_1,21:01:40,21:02:10,12469.96,102.66,Possible DDoS
server_1,21:01:50,21:02:20,1274.7,1688.89,""
server_1,21:02:00,21:02:30,1274.7,1688.89,""
server_1,21:02:10,21:02:40,1274.7,1688.89,""
server_1,21:02:20,21:02:50,997.57,120.89,""
server_1,21:02:30,21:03:00,997.57,4968.85,Disk thrash suspected
server_1,21:02:40,21:03:10,882.71,4968.85,Disk thrash suspected
server_1,21:02:50,21:03:20,882.71,4968.85,Disk thrash suspected
server_1,21:03:00,21:03:30,750.5,3125.8,""
server_1,21:03:10,21:03:40,830.91,93.37,""
server_1,21:03:20,21:03:50,968.34,93.37,""
server_1,21:03:30,21:04:00,968.34,7540.11,Disk thrash suspected
server_1,21:03:40,21:04:10,8344.55,7540.11,Network flood + Disk thrash suspected
server_1,21:03:50,21:04:20,8344.55,7540.11,Network flood + Disk thrash suspected
server_1,21:04:00,21:04:30,16706.78,184.95,Possible DDoS
server_1,21:04:10,21:04:40,16706.78,184.95,Possible DDoS
server_1,21:04:20,21:04:50,16706.78,184.95,Possible DDoS
server_1,21:04:30,21:05:00,903.92,9125.27,Disk thrash suspected
server_1,21:04:40,21:05:10,786.88,9125.27,Disk thrash suspected
server_1,21:04:50,21:05:20,11882.6,9125.27,Network flood + Disk thrash suspected
server_1,21:05:00,21:05:30,11882.6,1983.59,Possible DDoS
server_1,21:05:10,21:05:40,11882.6,1983.59,Possible DDoS
server_1,21:05:20,21:05:50,4276.51,3074.71,""
server_1,21:05:30,21:06:00,4276.51,3074.71,""
server_1,21:05:40,21:06:10,15246.44,3074.71,Possible DDoS
server_1,21:05:50,21:06:20,15246.44,9926.91,Network flood + Disk thrash suspected
server_1,21:06:00,21:06:30,15246.44,9926.91,Network flood + Disk thrash suspected
server_1,21:06:10,21:06:40,941.63,9926.91,Disk thrash suspected
server_1,21:06:20,21:06:50,941.63,3365.33,""
server_1,21:06:30,21:07:00,9089.42,8226.16,Network flood + Disk thrash suspected
